,H1,H2,H3,H4,H5,H6,H7,H8,HWavg,Q1,Q2,Proj1,Proj2,total
15,10.0,9.9,9.5,10.0,10.0,10.0,10.0,10.0,9.925,84.76190476,88.41463415,96.5,96.0,88.85838559849999
16,10.0,10.0,10.0,10.0,9.9,9.8,10.0,10.0,9.9625,94.92307692,96.46,95.63,92.5,90.122307692
17,10.0,10.0,10.0,9.9,10.0,7.0,8.0,8.0,9.1125,76.92307692,84.71,98.88,94.0,85.54480769199999
18,9.75,10.0,9.5,9.5,9.5,10.0,9.5,10.0,9.71875,65.78947368,69.85294118,89.0,96.3,82.25688854500001
19,10.0,10.0,9.5,9.9,9.25,9.5,10.0,10.0,9.76875,68.47619048,68.90243902,96.5,89.0,82.177984901
20,10.0,9.9,10.0,8.8,9.5,9.5,10.0,10.0,9.7125,83.61904762,76.2195122,95.0,95.0,85.854831592
21,0.0,0.0,0.0,10.0,9.9,10.0,9.75,10.0,6.20625,74.10526316,83.82352941,90.0,96.7,77.0540557275
22,10.0,9.9,9.5,9.5,9.5,10.0,10.0,10.0,9.8,72.76190476,79.26829268,95.5,94.0,85.286434378
23,10.0,10.0,9.75,10.0,9.5,10.0,9.75,10.0,9.875,91.42857143,92.68292683,96.75,97.0,90.34529616750001
24,10.0,10.0,10.0,10.0,9.9,9.2,10.0,10.0,9.8875,95.76923077,76.68,98.38,95.17,88.277423077
25,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,93.07692308,85.3,95.5,92.67,88.340192308
26,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,71.57894737,71.32352941,89.5,91.3,82.5814241485
27,10.0,10.0,10.0,10.0,9.25,10.0,10.0,10.0,9.90625,93.80952381,95.12195122,96.5,96.0,90.724245064
28,10.0,9.8,9.8,8.0,8.0,8.0,8.0,8.0,8.7,56.92307692,72.86,93.25,95.33,79.983807692
29,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.84615385,94.53,99.63,97.5,91.865115385
30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.76923077,91.15,98.5,93.0,90.199423077
31,10.0,10.0,9.9,9.95,9.9,10.0,10.0,10.0,9.96875,90.42105263,91.17647059,90.0,96.3,88.7185758515
32,10.0,10.0,10.0,9.0,9.9,10.0,10.0,10.0,9.8625,85.38461538,83.92,95.75,91.83,86.903961538
33,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,9.9875,88.84615385,93.08,99.13,92.83,89.850115385
34,10.0,9.75,10.0,10.0,10.0,10.0,10.0,10.0,9.96875,91.05263158,91.91176471,89.5,92.3,87.7920278645
35,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.9375,89.52380952,91.46341463,96.75,97.0,90.1218931465
36,10.0,10.0,9.9,10.0,9.9,9.0,9.0,9.0,9.6,91.53846154,86.81,99.5,94.0,88.61534615400001
37,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.9375,94.76190476,92.68292683,95.5,94.0,89.8286295005
38,9.0,10.0,10.0,9.9,9.5,10.0,10.0,10.0,9.8,90.0,80.48780488,96.5,86.0,85.393170732
39,9.75,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.96875,87.36842105,89.70588235,93.8,95.3,88.7027244575
40,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,9.975,81.57894737,94.11764706,90.0,92.3,87.290541796
41,10.0,10.0,10.0,10.0,10.0,8.9,10.0,10.0,9.8625,76.92307692,69.45,97.75,93.33,84.662307692
42,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.875,90.42105263,88.97058824,90.5,93.3,87.51269349900001
